WartoscDocelowa Pomiar BladBezgledny BladWzgledny
75 75,457 0,457 0,609
75 74,577 0,423 0,564
75 75,466 0,466 0,621
75 74,522 0,478 0,637
75 75,226 0,226 0,302
75 74,718 0,282 0,376
75 75,370 0,370 0,493
75 75,394 0,394 0,526
75 74,572 0,428 0,571
75 75,453 0,453 0,604
75 75,115 0,115 0,153
75 75,266 0,266 0,355
75 75,042 0,042 0,056
75 75,036 0,036 0,048
75 74,587 0,413 0,551
75 74,916 0,084 0,113
75 75,219 0,219 0,292
75 75,466 0,466 0,621
75 74,766 0,234 0,312
75 74,544 0,456 0,608
75 74,755 0,245 0,326
75 74,565 0,435 0,580
75 75,077 0,077 0,103
75 75,418 0,418 0,557
75 74,553 0,447 0,596
75 74,817 0,183 0,244
75 74,552 0,448 0,598
75 74,715 0,285 0,381
75 75,021 0,021 0,028
75 74,859 0,141 0,188
75 75,365 0,365 0,487
75 74,800 0,200 0,266
75 74,556 0,444 0,592
75 75,426 0,426 0,568
75 74,555 0,445 0,593
75 74,715 0,285 0,380
75 74,883 0,117 0,156
75 75,021 0,021 0,028
75 74,706 0,294 0,392
75 75,266 0,266 0,355
75 74,645 0,355 0,473
75 74,594 0,406 0,542
75 75,166 0,166 0,221
75 74,753 0,247 0,330
75 74,705 0,295 0,393
75 74,998 0,002 0,003
75 74,952 0,048 0,064
75 75,006 0,006 0,008
75 74,911 0,089 0,119
75 75,087 0,087 0,115
75 74,812 0,188 0,251
75 75,139 0,139 0,186
75 74,733 0,267 0,356
75 74,879 0,121 0,161
75 75,055 0,055 0,073
75 75,116 0,116 0,154
75 75,035 0,035 0,047
75 75,343 0,343 0,458
75 74,671 0,329 0,438
75 75,011 0,011 0,014
75 75,438 0,438 0,584
75 75,001 0,001 0,002
75 74,940 0,060 0,080
75 74,628 0,372 0,496
75 75,172 0,172 0,229
75 74,742 0,258 0,344
75 75,199 0,199 0,266
75 74,954 0,046 0,061
75 75,065 0,065 0,087
75 74,924 0,076 0,102
75 74,713 0,287 0,383
75 74,791 0,209 0,279
75 75,320 0,320 0,427
75 75,119 0,119 0,159
75 74,575 0,425 0,567
75 74,781 0,219 0,292
75 75,033 0,033 0,043
75 74,601 0,399 0,532
75 75,437 0,437 0,582
75 74,966 0,034 0,045
75 74,983 0,017 0,023
75 74,987 0,013 0,017
75 75,417 0,417 0,557
75 74,958 0,042 0,056
75 75,102 0,102 0,136
75 75,312 0,312 0,417
75 74,935 0,065 0,087
75 74,780 0,220 0,293
75 75,137 0,137 0,183
75 75,128 0,128 0,171
75 75,365 0,365 0,486
75 75,450 0,450 0,600
75 75,477 0,477 0,637
75 75,167 0,167 0,223
75 75,355 0,355 0,474
75 75,407 0,407 0,542
75 74,810 0,190 0,254
75 74,523 0,477 0,636
75 75,364 0,364 0,485
75 74,970 0,030 0,040
75 75,237 0,237 0,316
75 75,248 0,248 0,331
75 75,464 0,464 0,619
75 75,104 0,104 0,139
75 74,789 0,211 0,281
75 74,795 0,205 0,273
75 74,772 0,228 0,304
75 74,906 0,094 0,126
75 74,771 0,229 0,305
75 74,715 0,285 0,379
75 74,890 0,110 0,147
75 75,398 0,398 0,530
75 75,257 0,257 0,343
75 74,614 0,386 0,515
75 74,615 0,385 0,513
75 75,407 0,407 0,543
75 75,119 0,119 0,159
75 75,432 0,432 0,576
75 74,794 0,206 0,275
75 74,524 0,476 0,635
75 75,382 0,382 0,509
75 74,747 0,253 0,337
75 74,597 0,403 0,537
75 75,411 0,411 0,549
75 75,384 0,384 0,511
75 74,934 0,066 0,088
75 74,687 0,313 0,417
75 75,022 0,022 0,029
75 75,146 0,146 0,194
75 74,711 0,289 0,385
75 74,720 0,280 0,373
75 74,585 0,415 0,553
75 74,617 0,383 0,511
75 74,802 0,198 0,264
75 75,370 0,370 0,493
75 74,603 0,397 0,529
75 74,960 0,040 0,054
75 75,197 0,197 0,263
75 74,598 0,402 0,536
75 75,459 0,459 0,612
75 74,849 0,151 0,201
75 74,759 0,241 0,322
75 75,209 0,209 0,278
75 74,668 0,332 0,442
75 74,834 0,166 0,222
75 74,732 0,268 0,358
75 74,817 0,183 0,244
75 75,243 0,243 0,324
75 75,165 0,165 0,220
75 75,057 0,057 0,076
75 75,236 0,236 0,315
75 75,116 0,116 0,154
75 75,147 0,147 0,196
75 75,245 0,245 0,327
75 74,951 0,049 0,065
75 75,089 0,089 0,119
75 74,986 0,014 0,018
75 74,973 0,027 0,036
75 74,783 0,217 0,290
75 75,302 0,302 0,403
75 75,302 0,302 0,403
75 74,503 0,497 0,663
75 75,058 0,058 0,078
75 74,790 0,210 0,279
75 74,982 0,018 0,024
75 75,469 0,469 0,625
75 74,622 0,378 0,505
75 75,302 0,302 0,403
75 74,795 0,205 0,274
75 74,586 0,414 0,552
75 74,777 0,223 0,297
75 75,188 0,188 0,251
